"LAI","h3","d","wL","P50","P12","pxmin","pxgs50","slope"
1,25,4,0.186598652806376,-3.4815016501755,-1.83513348301847,-2.98507993594164,-2.1037842091932,0.765671654202732
3,25,4,0.168110750182596,-3.4815016501755,-1.83513348301847,-4.70892344306483,-2.71836583611292,0.826922792900927
1,100,4,0.216027606470773,-3.4815016501755,-1.83513348301847,-1.60511094142987,-1.34217117791557,0.674605409464024
3,100,4,0.192326386317574,-3.4815016501755,-1.83513348301847,-2.61519498809624,-1.93385574980914,0.743224203849088
1,200,4,0.232799618845751,-3.4815016501755,-1.83513348301847,-1.18372984727386,-1.03716776205984,0.635462894679745
3,200,4,0.206915487237027,-3.4815016501755,-1.83513348301847,-1.91819806469399,-1.54647653966174,0.697963460866451
1,1,5,0.144899476817644,-4.35187706271938,-2.29391685377309,-8.27665939085776,-4.12469095509846,0.725397087215647
3,1,5,0.141354332021579,-4.35187706271938,-2.29391685377309,-9.03498678744739,-4.26617353676863,0.698258016348027
1,25,5,0.175523596965492,-4.35187706271938,-2.29391685377309,-3.8436772541403,-2.57523374756757,0.787484507126809
3,25,5,0.158117586093217,-4.35187706271938,-2.29391685377309,-6.0991651981897,-3.33250612796132,0.849946946550201
1,100,5,0.202976450844821,-4.35187706271938,-2.29391685377309,-2.06596674925621,-1.6653788624181,0.699912786987129
3,100,5,0.180917963372165,-4.35187706271938,-2.29391685377309,-3.3620152064922,-2.37110783103658,0.764985272780617
1,200,5,0.218433316010497,-4.35187706271938,-2.29391685377309,-1.52958017318368,-1.30070275487173,0.664545931551467
3,200,5,0.19453419394301,-4.35187706271938,-2.29391685377309,-2.46559348685148,-1.90882727909737,0.721539754486823
1,1,6,0.138379045374095,-5.22225247526326,-2.75270022452771,-10.0861872678886,-4.91904429100668,0.738352057895279
3,1,6,0.135117764597908,-5.22225247526326,-2.75270022452771,-10.9797293010605,-5.10431562958273,0.70581711227664
1,25,6,0.167075541398113,-5.22225247526326,-2.75270022452771,-4.71532507393116,-3.02472910206392,0.803218205447802
3,25,6,0.150459581661854,-5.22225247526326,-2.75270022452771,-7.52406113126586,-3.92336646061126,0.866934920185275
1,100,6,0.193076189890791,-5.22225247526326,-2.75270022452771,-2.53194842498365,-1.97421639365101,0.718226847401867
3,100,6,0.17222592417283,-5.22225247526326,-2.75270022452771,-4.11842236525295,-2.78773796204668,0.780677332148736
1,200,6,0.20756960502008,-5.22225247526326,-2.75270022452771,-1.879607459647,-1.55395419912181,0.685539508862757
3,200,6,0.18512608309527,-5.22225247526326,-2.75270022452771,-3.01904972941517,-2.25438786050512,0.738601335560577
1,1,7,0.13311383692598,-6.09262788780713,-3.21148359528233,-11.9166349196859,-5.70509293013364,0.749499423698653
3,1,7,0.130071976744429,-6.09262788780713,-3.21148359528233,-12.9434854386615,-5.93788392851272,0.712579149735748
1,25,7,0.160320623580624,-6.09262788780713,-3.21148359528233,-5.59698602787839,-3.45593586202618,0.815212874705568
3,25,7,0.14431567918145,-6.09262788780713,-3.21148359528233,-8.97712040954822,-4.49398044042094,0.880088071433413
