"R","I","B_bar"
-7,-6,47.9254957183514
-6.5,-6,51.5208373446007
-6,-6,53.1406058309743
-5.5,-6,55.5555307357138
-5,-6,60.9213520199489
-4.5,-6,69.6556751717451
-4,-6,81.0831553309179
-3.5,-6,93.8508714587857
-3,-6,106.143234403386
-2.5,-6,115.681426574573
-2,-6,119.551529922293
-1.5,-6,113.934077691922
-1,-6,94.08885511623
-10,-5.5,19.1130272105848
-9.50000000000001,-5.5,20.5542203064084
-9,-5.5,23.3170066175447
-8.5,-5.5,28.1012838013418
-8.00000000000001,-5.5,35.045430483484
-7.5,-5.5,42.7936731018509
-7,-5.5,49.0098976884801
-6.5,-5.5,52.3346323384925
-6,-5.5,53.2555442273747
-5.5,-5.5,53.6334083780824
-5,-5.5,57.2392489208826
-4.5,-5.5,65.5087140073456
-4,-5.5,77.4859205307547
-3.5,-5.5,91.4713904232124
-3,-5.5,105.32117694075
-2.5,-5.5,116.457040214439
-2,-5.5,121.680968050506
-1.5,-5.5,116.885667555012
-1,-5.5,97.0389353479693
-10,-5,19.5255219969878
-9.50000000000001,-5,20.9924322126259
-9,-5,23.7977262555818
-8.5,-5,28.634190096916
-8.00000000000001,-5,35.6042719412773
-7.5,-5,43.2947670761323
-7,-5,49.3340839701069
-6.5,-5,52.3588757366743
-6,-5,52.8110539493843
-5.5,-5,52.1562532340738
-5,-5,52.464625853434
-4.5,-5,58.3750501383039
-4,-5,70.0474990718392
-3.5,-5,84.9573157822967
-3,-5,100.425992356086
-2.5,-5,113.480474874874
-2,-5,120.588196208207
-1.5,-5,117.31942763442
-1,-5,98.3072361274442
-10,-4.5,19.7768058769251
-9.50000000000001,-4.5,21.2545458449374
-9,-4.5,24.0717341146413
-8.5,-4.5,28.9022283605365
-8.00000000000001,-4.5,35.8056543288789
-7.5,-4.5,43.3282951226464
-7,-4.5,49.1046355500411
-6.5,-4.5,51.8090034918748
-6,-4.5,51.8868373024291
-5.5,-4.5,50.6950394621048
-5,-4.5,49.6687714571635
-4.5,-4.5,50.7256021763044
-4,-4.5,59.581357200387
-3.5,-4.5,74.6277456209063
-3,-4.5,91.6565170692384
-2.5,-4.5,106.968034744469
-2,-4.5,116.549222266548
-1.5,-4.5,115.557215399804
-1,-4.5,98.2027584106585
-10,-4,19.9076640120021
-9.50000000000001,-4,21.3842703624563
-9,-4,24.1884898722228
-8.5,-4,28.965532822649
-8.00000000000001,-4,35.7272280519387
-7.5,-4,42.9947231124585
-7,-4,48.4428054930557
-6.5,-4,50.8128210277839
-6,-4,50.5726789188106
-5.5,-4,49.0271748791175
-5,-4,47.436194620721
-4.5,-4,46.8448019167922
-4,-4,49.0747137070611
-3.5,-4,61.112587996225
-3,-4,79.0521332972056
-2.5,-4,96.8435172360378
-2,-4,109.532343828116
-1.5,-4,111.654878083678
-1,-4,96.8443075995742
-10,-3.5,19.9380741573894
-9.50000000000001,-3.5,21.4026842120981
-9,-3.5,24.1712097517323
-8.5,-3.5,28.851416946112
-8.00000000000001,-3.5,35.403550526303
-7.5,-3.5,42.3387140991193
-7,-3.5,47.4025528573016
-6.5,-3.5,49.4262341297529
-6,-3.5,48.9072980848784
-5.5,-3.5,47.1107262077898
-5,-3.5,45.2010369619617
-4.5,-3.5,44.0085553813706
-4,-3.5,44.255726996035
-3.5,-3.5,47.8204041184553
-3,-3.5,62.9489756907351
-2.5,-3.5,82.8106396622227
-2,-3.5,99.1887960994009
-1.5,-3.5,105.391693055315
-1,-3.5,94.1680842907712
-10,-3,19.8704641664524
-9.50000000000001,-3,21.3116201287297
-9,-3,24.0204911172421
-8.5,-3,28.5584558004787
-8.00000000000001,-3,34.8310530205843
-7.5,-3,41.35562050733
-7,-3,45.9790013565611
-6.5,-3,47.6422360107938
-6,-3,46.873860088853
-5.5,-3,44.8964404149835
-5,-3,42.7972795926514
-4.5,-3,41.2978020175271
-4,-3,40.8828853284927
-3.5,-3,42.1118452975079
-3,-3,47.0218648727994
-2.5,-3,64.8070902387119
-2,-3,84.8735928666532
-1.5,-3,96.2212903585088
-1,-3,89.8980838283741
-10,-2.5,19.6873059084444
-9.50000000000001,-2.5,21.0908643718648
-9,-2.5,23.7107683077962
-8.5,-2.5,28.051771132866
-8.00000000000001,-2.5,33.9620013623832
-7.5,-2.5,39.98466427156
-7,-2.5,44.101844944774
-6.5,-2.5,45.3847981062968
-6,-2.5,44.390625255516
-5.5,-2.5,42.28887549652
-5,-2.5,40.088165268938
-4.5,-2.5,38.4281566612196
-4,-2.5,37.6856534071264
-3.5,-2.5,38.1634318068287
-3,-2.5,40.3708680090647
-2.5,-2.5,46.5221938393927
-2,-2.5,66.0072350218048
-1.5,-2.5,83.1908893873553
-1,-2.5,83.4517506363199
-10,-2,19.3383713548539
-9.50000000000001,-2,20.6840225182989
-9,-2,23.1735811555748
-8.5,-2,27.2421112812562
-8.00000000000001,-2,32.6782757554883
-7.5,-2,38.0780193127683
-7,-2,41.602032580308
-6.5,-2,42.4754833460132
-6,-2,41.2776399261388
-5.5,-2,39.1066521518891
-5,-2,36.8800520052655
-4.5,-2,35.1591746589178
-4,-2,34.2482055187616
-3.5,-2,34.3441527868171
-3,-2,35.6802453401726
-2.5,-2,38.7583435135398
-2,-2,45.8698373980535
-1.5,-2,65.083824330108
-1,-2,73.7384043112294
-10,-1.5,18.6997169623827
-9.50000000000001,-1.5,19.9535214107533
-9,-1.5,22.245269599554
-8.5,-1.5,25.9219704344362
-8.00000000000001,-1.5,30.7129715239982
-7.5,-1.5,35.3093943118404
-7,-1.5,38.1133438507451
-6.5,-1.5,38.5348652247566
-6,-1.5,37.1620864579757
-5.5,-1.5,34.9910686882053
-5,-1.5,32.8240772878271
-4.5,-1.5,31.1347407183462
-4,-1.5,30.1632848056986
-3.5,-1.5,30.0435879201262
-3,-1.5,30.9029253304576
-2.5,-1.5,32.9503572474828
-2,-1.5,36.6470851284947
-1.5,-1.5,44.0420292093509
-1,-1.5,58.9076061071004
-10,-1,17.4240428408615
-9.50000000000001,-1,18.5181204935822
-9,-1,20.4815932246342
-8.5,-1,23.5453653589176
-8.00000000000001,-1,27.3885848424069
-7.5,-1,30.8773919151794
-7,-1,32.7599478673832
-6.5,-1,32.6746940950117
-6,-1,31.1878995144269
-5.5,-1,29.1365955294332
-5,-1,27.1626688366372
-4.5,-1,25.6285020872802
-4,-1,24.705503654171
-3.5,-1,24.4777456247206
-3,-1,25.015243993695
-2.5,-1,26.4211960541761
-2,-1,28.8673148354786
-1.5,-1,32.6411345880439
-1,-1,38.7602728566824
